Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Ring Support Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Ring Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Single Arm Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Macebell 360 to Single Arm 360,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell,1,None,0,Walking,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Clubbell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Macebell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Macebell,1,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Clubbell Front Flag Hold Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Macebell Order March,Novice,Abdominals,Rectus Abdominis,,,Macebell,1,None,0,March,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Macebell Order March,Novice,Abdominals,Rectus Abdominis,,,Macebell,1,None,0,March,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
EZ Bar Incline Bench Lying Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar,1,Bench (Incline),1,Seated,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Incline Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar,1,Bench (Incline),1,Seated,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Decline Bench Skull Crusher,Novice,Triceps,Triceps Brachii,,,EZ Bar,1,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Suspension Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Incline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Decline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Incline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,1,Bench (Incline),1,Seated,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Decline Bench Skull Crusher,Beginner,Triceps,Triceps Brachii,,,Dumbbell,1,Bench (Decline),1,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
EZ Bar Close Grip Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,EZ Bar,1,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,,,EZ Bar,1,None,0,Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
EZ Bar Standing Rollout,Advanced,Abdominals,Rectus Abdominis,,,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
EZ Bar Tall Kneeling Overhead Tricep Extension,Novice,Triceps,Triceps Brachii,,,EZ Bar,1,None,0,Tall Kneeling,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
EZ Bar Reverse Grip Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
EZ Bar Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Reverse Grip Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,EZ Bar,1,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Close Grip Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,EZ Bar,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Close Grip Incline Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,EZ Bar,1,Bench (Incline),1,Seated,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
EZ Bar Close Grip Decline Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,EZ Bar,1,Bench (Decline),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Knee Supported Row,Beginner,Back,Latissimus Dorsi,,,Dumbbell,1,Bench (Flat),1,Knee Supported,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Barbell Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Supinated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Seated Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Supinated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Pullover,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Dumbbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Flat Palm,Above Chest,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Dumbbell Incline Bench Pullover,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Triceps Brachii,Dumbbell,1,Bench (Incline),1,Seated,Double Arm,Continuous,Flat Palm,Above Chest,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Tire Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Tire Jump Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Tire Broad Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Tire Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Tire Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Tire Alternating Toe Taps Around the World,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Tire Incline Push Up,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Tire,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Tire Lateral Jump Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Tire Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,,Tire,1,None,0,Walking,Double Arm,Continuous,Other,Suitcase,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Tire Sledge Hammer Staggered Stance Slam,Novice,Abdominals,Obliques,Rectus Abdominis,Posterior Deltoids,Tire,1,Sledge Hammer,1,Staggered Stance,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Bilateral,Ballistics
Tire Macebell Staggered Stance Slam,Novice,Abdominals,Obliques,Rectus Abdominis,Posterior Deltoids,Tire,1,Macebell,1,Staggered Stance,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Bilateral,Ballistics
Barbell Back Rack Carry,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Barbell Suitcase Carry,Intermediate,Forearms,Brachioradialis,Obliques,,Barbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Loaded Carry,Anti-Lateral Flexion,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Suspension Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Suspension Bulgarian Split Squat Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Supported,No Arms,Continuous,No Grip,No Load,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Bodyweight Lateral Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,Animal Flow
Bodyweight Box Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Tire Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Bodyweight Alternating Box Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Tire Alternating Step Up Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
Barbell Power Clean to Push Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting
Double Clubbell Asynchronous Mill,Expert,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Double Clubbell Inside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Double Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Clubbell Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Inside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
